Year,GP_Name,Driver,LapNumber,Undercut_Successful,Gap_To_Ahead,Rival_Tyre_Age,Pace_Delta,Pit_Aggressiveness,StationaryDuration,InLap_Sec,OutLap_Sec
2022,Bahrain,SAI,44.0,0,10.728000000000065,13.0,-2.527000000000001,1.0,24.289,99.699,123.686
2022,Bahrain,LAT,14.0,1,1.9210000000002765,13.0,0.8990000000000009,-1.0,24.437,105.315,118.534
2022,Bahrain,LAT,32.0,0,5.7739999999994325,14.0,1.257000000000005,17.0,24.63,104.577,123.32
2022,Bahrain,LAT,45.0,0,8.683999999999287,3.0,5.99199999999999,2.0,24.635,131.603,138.301
2022,Bahrain,RUS,15.0,0,5.244999999999891,17.0,-2.6199999999999903,0.0,25.894,103.097,122.37
2022,Bahrain,RUS,33.0,0,13.360000000000582,2.0,3.2109999999999985,-8.5,25.332,101.83,119.638
2022,Bahrain,RUS,45.0,0,10.734000000000378,4.0,-18.224000000000004,2.0,25.166,108.988,
2022,Bahrain,BOT,14.0,0,3.088999999999942,13.0,-0.04600000000000648,-1.0,25.937,103.736,120.669
2022,Bahrain,BOT,36.0,0,11.043999999999869,2.0,2.403000000000006,-7.0,25.137,102.299,118.899
2022,Bahrain,BOT,45.0,0,11.062000000000808,12.0,-0.31799999999999784,2.0,25.211,121.176,148.768
2022,Saudi Arabia,VER,16.0,0,1.566000000000713,15.0,-3.2209999999999894,0.0,20.731,104.577,
2022,Saudi Arabia,GAS,15.0,0,2.311999999999898,15.0,2.5050000000000097,-1.0,22.812,99.58,143.731
2022,Saudi Arabia,PER,15.0,0,,,,-1.0,20.478,98.591,128.106
2022,Saudi Arabia,ALO,16.0,0,12.05199999999968,15.0,1.3389999999999986,0.0,21.525,118.83,
2022,Saudi Arabia,LEC,16.0,0,,,,0.0,21.024,103.84,
2022,Saudi Arabia,STR,13.0,0,0.19099999999980355,13.0,1.7710000000000008,-3.0,22.343,101.859,116.297
2022,Saudi Arabia,MAG,37.0,1,6.996000000000095,37.0,0.40399999999999636,0.5,22.382,99.989,143.719
2022,Saudi Arabia,ALB,13.0,0,5.581000000000131,13.0,-0.11199999999999477,-3.0,20.668,101.186,115.413
2022,Saudi Arabia,ZHO,16.0,0,0.5389999999997599,15.0,-0.45599999999998886,0.0,33.653,122.305,
2022,Saudi Arabia,ZHO,27.0,0,0.4639999999999418,11.0,0.016000000000005343,-9.5,15.105,98.66,108.451
2022,Saudi Arabia,HUL,37.0,0,5.76299999999992,21.0,-0.4969999999999999,0.5,21.441,100.236,144.318
2022,Saudi Arabia,RIC,8.0,0,0.3640000000004875,8.0,-0.13900000000001,-8.0,20.637,100.276,114.148
2022,Saudi Arabia,RIC,36.0,0,3.1940000000004147,19.0,-3.2900000000000063,-0.5,,,
2022,Saudi Arabia,OCO,16.0,0,1.4340000000001965,15.0,0.4830000000000041,0.0,21.129,126.558,145.977
2022,Saudi Arabia,NOR,16.0,0,0.21900000000005093,15.0,-2.4650000000000034,0.0,20.383,121.65,148.586
2022,Saudi Arabia,HAM,40.0,0,16.173999999999978,23.0,1.0379999999999967,3.5,21.798,123.425,113.062
2022,Saudi Arabia,SAI,16.0,0,3.170999999999367,15.0,0.05100000000000193,0.0,21.548,106.94,
2022,Saudi Arabia,RUS,16.0,0,12.249000000000706,15.0,0.031999999999996476,0.0,21.42,111.651,
2022,Saudi Arabia,BOT,16.0,0,1.3609999999998763,15.0,-0.018000000000000682,0.0,22.567,120.798,
2022,Saudi Arabia,BOT,35.0,0,2.3159999999998035,18.0,-0.6110000000000042,-1.5,22.789,97.908,135.831
2022,Saudi Arabia,BOT,36.0,0,0.9200000000000728,19.0,3.378,20.0,,135.831,
2022,Australia,VER,18.0,0,8.309000000000196,17.0,0.46399999999999864,-2.5,18.272,99.466,89.085
2022,Australia,GAS,21.0,0,1.7309999999997672,20.0,0.9980000000000047,0.5,18.909,100.851,90.21
2022,Australia,PER,20.0,0,16.340000000000146,19.0,1.3929999999999865,-0.5,17.415,99.099,91.675
2022,Australia,ALO,39.0,0,9.402999999999338,16.0,1.5159999999999911,8.0,18.816,122.407,90.957
2022,Australia,ALO,53.0,0,1.8389999999999418,15.0,2.5,32.5,18.429,100.863,92.889
2022,Australia,LEC,22.0,0,,,,1.5,17.963,98.34,94.148
2022,Australia,STR,3.0,0,0.5349999999998545,2.0,0.14000000000000057,-28.0,18.248,128.743,133.522
2022,Australia,STR,4.0,0,12.219000000000051,3.0,12.908999999999992,-16.5,18.576,133.522,124.896
2022,Australia,STR,23.0,0,1.3389999999999418,1.0,-3.8659999999999997,-8.0,20.399,113.02,121.599
2022,Australia,MAG,39.0,0,4.516999999999825,17.0,0.35300000000000864,8.0,19.082,123.232,90.49
2022,Australia,TSU,18.0,0,3.05199999999968,17.0,1.0139999999999958,-2.5,18.415,100.786,91.019
2022,Australia,ALB,57.0,0,5.995999999999185,35.0,-0.09600000000000364,26.0,19.889,98.438,87.465
2022,Australia,ZHO,21.0,0,1.5470000000004802,20.0,0.8410000000000082,0.5,18.358,100.432,92.26
2022,Australia,RIC,21.0,0,5.609000000000378,20.0,1.0060000000000002,0.5,18.132,99.94,90.993
2022,Australia,OCO,17.0,0,4.930000000000291,16.0,1.1129999999999995,-3.5,19.115,101.475,90.536
2022,Australia,NOR,20.0,0,3.84900000000016,19.0,0.6559999999999917,-0.5,17.566,99.107,90.195
2022,Australia,HAM,22.0,0,18.1220000000003,21.0,0.1290000000000049,1.5,17.93,98.399,101.596
2022,Australia,MSC,14.0,0,2.7460000000000946,13.0,1.781000000000006,-6.5,19.076,101.908,91.469
2022,Australia,LAT,13.0,0,4.282000000000153,14.0,-1.2150000000000034,-7.5,18.565,104.388,92.856
2022,Australia,LAT,23.0,0,5.790999999999258,1.0,-7.177000000000007,-8.0,17.928,119.64,116.661
2022,Australia,RUS,23.0,0,6.643000000000029,22.0,-13.674999999999997,2.5,18.537,101.064,146.663
2022,Australia,BOT,22.0,0,3.772000000000844,21.0,1.4780000000000086,1.5,18.413,99.24,112.104
2022,Emilia Romagna,VER,19.0,0,,,,1.0,30.108,95.268,114.738
2022,Emilia Romagna,VER,51.0,0,,,,1.0,29.933,85.574,104.342
2022,Emilia Romagna,PER,18.0,0,6.685999999999694,17.0,0.2430000000000092,0.0,30.346,96.894,117.071
2022,Emilia Romagna,PER,50.0,0,14.232999999999265,30.0,0.6970000000000027,0.0,29.736,86.078,104.839
2022,Emilia Romagna,NOR,19.0,0,6.0460000000002765,18.0,-5.471000000000004,1.0,30.056,94.952,115.724
2022,Emilia Romagna,RUS,18.0,0,7.644999999999527,17.0,1.8000000000000114,0.0,31.047,97.214,116.44
2022,Emilia Romagna,BOT,18.0,0,1.356999999999971,17.0,-0.2469999999999999,0.0,40.927,97.376,125.391
2022,Emilia Romagna,LEC,19.0,0,8.0,18.0,0.3790000000000049,1.0,31.802,94.439,116.684
2022,Emilia Romagna,LEC,49.0,0,2.756000000000313,30.0,-0.2920000000000016,-1.0,30.059,85.604,105.682
2022,Emilia Romagna,LEC,53.0,0,0.7579999999998108,2.0,-0.09999999999999432,0.0,36.513,94.673,111.871
2022,Emilia Romagna,TSU,18.0,0,8.777999999999338,17.0,1.6400000000000006,0.0,30.358,99.363,118.171
2022,Emilia Romagna,VET,17.0,1,2.930000000000291,16.0,1.4749999999999943,-1.0,30.486,99.443,116.94
