Driver,LapNumber,Gap_To_Ahead,TyreAge_In,OldCompound,NewCompound,StationaryDuration,InLap_Sec,OutLap_Sec,Is_Traffic,Undercut_Successful,Year,GP_Name
NOR,4.0,0.96,4.0,SOFT,HARD,24.077,98.826,110.478,0,0,2023,Miami Grand Prix
DEV,15.0,5.334,15.0,MEDIUM,HARD,23.594,98.808,110.131,0,0,2023,Miami Grand Prix
PIA,5.0,0.793,5.0,SOFT,HARD,22.265,98.967,108.019,0,0,2023,Miami Grand Prix
SAR,2.0,0.552,2.0,MEDIUM,HARD,48.906,101.093,135.625,0,0,2023,Miami Grand Prix
VER,55.0,0.0,55.0,MEDIUM,INTERMEDIATE,24.484,130.567,106.131,0,0,2023,Monaco Grand Prix
GAS,47.0,25.067,47.0,HARD,MEDIUM,23.875,93.267,79.884,0,0,2023,Monaco Grand Prix
GAS,54.0,3.092,7.0,MEDIUM,INTERMEDIATE,29.969,121.097,103.22,0,0,2023,Monaco Grand Prix
PER,34.0,1.075,33.0,HARD,MEDIUM,32.656,106.451,79.581,0,0,2023,Monaco Grand Prix
PER,53.0,12.592,20.0,MEDIUM,INTERMEDIATE,24.172,115.544,102.332,0,1,2023,Monaco Grand Prix
PER,57.0,1.3820000000000001,4.0,INTERMEDIATE,WET,29.046,125.839,105.989,0,0,2023,Monaco Grand Prix
PER,70.0,14.259,13.0,WET,INTERMEDIATE,25.187,118.066,96.744,0,0,2023,Monaco Grand Prix
ALO,54.0,13.308,55.0,HARD,MEDIUM,24.219,110.311,126.635,0,0,2023,Monaco Grand Prix
ALO,55.0,24.673000000000002,2.0,MEDIUM,INTERMEDIATE,25.843,126.635,108.531,0,0,2023,Monaco Grand Prix
LEC,44.0,22.783,44.0,HARD,MEDIUM,24.187,95.442,79.563,0,0,2023,Monaco Grand Prix
LEC,55.0,4.6850000000000005,11.0,MEDIUM,INTERMEDIATE,25.702,129.246,103.008,0,0,2023,Monaco Grand Prix
STR,51.0,0.554,52.0,HARD,INTERMEDIATE,24.64,104.501,92.189,0,0,2023,Monaco Grand Prix
SAR,20.0,1.633,20.0,MEDIUM,HARD,24.109,97.211,81.646,0,0,2023,Monaco Grand Prix
SAR,23.0,13.009,3.0,HARD,SOFT,27.531,98.195,80.682,0,0,2023,Monaco Grand Prix
SAR,52.0,30.107,29.0,SOFT,INTERMEDIATE,25.718,117.918,102.041,0,0,2023,Monaco Grand Prix
DEV,53.0,2.963,53.0,MEDIUM,INTERMEDIATE,24.219,118.795,107.858,0,0,2023,Monaco Grand Prix
TSU,53.0,35.623,53.0,MEDIUM,INTERMEDIATE,33.609,125.687,101.01,0,0,2023,Monaco Grand Prix
ALB,18.0,7.085,18.0,MEDIUM,HARD,24.03,98.414,83.193,0,0,2023,Monaco Grand Prix
ALB,52.0,0.155,34.0,HARD,INTERMEDIATE,27.015,115.852,96.281,0,0,2023,Monaco Grand Prix
ZHO,52.0,4.521,51.0,HARD,INTERMEDIATE,25.438,111.997,96.935,0,1,2023,Monaco Grand Prix
HUL,54.0,4.442,53.0,HARD,INTERMEDIATE,34.703,139.643,104.22,0,0,2023,Monaco Grand Prix
HUL,59.0,10.432,5.0,INTERMEDIATE,WET,25.624,119.463,102.782,0,0,2023,Monaco Grand Prix
OCO,32.0,17.495,32.0,MEDIUM,HARD,25.952,94.668,79.289,0,0,2023,Monaco Grand Prix
OCO,54.0,6.2620000000000005,22.0,HARD,INTERMEDIATE,24.671,114.547,102.379,0,0,2023,Monaco Grand Prix
NOR,50.0,5.53,50.0,MEDIUM,HARD,24.609,95.974,87.706,0,0,2023,Monaco Grand Prix
NOR,54.0,9.231,4.0,HARD,INTERMEDIATE,33.436,132.003,103.38,0,0,2023,Monaco Grand Prix
HAM,31.0,2.699,31.0,MEDIUM,HARD,24.468,95.467,78.165,0,0,2023,Monaco Grand Prix
HAM,54.0,3.079,23.0,HARD,INTERMEDIATE,26.64,115.141,99.603,0,1,2023,Monaco Grand Prix
SAI,33.0,19.121,33.0,HARD,MEDIUM,24.234,93.612,80.767,0,0,2023,Monaco Grand Prix
SAI,55.0,18.223,22.0,MEDIUM,INTERMEDIATE,29.031,139.381,102.32,0,0,2023,Monaco Grand Prix
RUS,54.0,24.475,54.0,HARD,INTERMEDIATE,30.875,117.545,115.804,0,0,2023,Monaco Grand Prix
BOT,51.0,8.195,51.0,HARD,INTERMEDIATE,30.374,109.586,92.154,0,0,2023,Monaco Grand Prix
PIA,54.0,45.946,54.0,HARD,INTERMEDIATE,25.859,131.859,106.026,0,0,2023,Monaco Grand Prix
VER,26.0,0.0,26.0,MEDIUM,HARD,22.266,83.843,98.427,0,0,2023,Spanish Grand Prix
VER,52.0,0.0,26.0,HARD,SOFT,22.359,82.849,97.231,0,0,2023,Spanish Grand Prix
HAM,24.0,10.642,27.0,SOFT,MEDIUM,22.577,84.672,99.313,0,0,2023,Spanish Grand Prix
HAM,50.0,16.257,26.0,MEDIUM,SOFT,22.718,82.701,98.688,0,0,2023,Spanish Grand Prix
RUS,25.0,5.269,25.0,SOFT,MEDIUM,22.25,84.632,98.401,0,0,2023,Spanish Grand Prix
RUS,45.0,10.256,20.0,MEDIUM,SOFT,22.046,82.981,97.181,0,0,2023,Spanish Grand Prix
PER,27.0,25.513,27.0,MEDIUM,HARD,21.718,85.177,98.204,0,0,2023,Spanish Grand Prix
PER,50.0,19.242,23.0,HARD,SOFT,21.39,83.039,95.599,0,0,2023,Spanish Grand Prix
SAI,15.0,7.091,18.0,SOFT,MEDIUM,22.281,84.981,99.079,0,0,2023,Spanish Grand Prix
SAI,41.0,4.855,26.0,MEDIUM,HARD,22.405,84.28,99.152,0,0,2023,Spanish Grand Prix
STR,14.0,4.885,17.0,SOFT,SOFT,22.297,85.694,99.74,0,0,2023,Spanish Grand Prix
STR,34.0,9.271,23.0,SOFT,HARD,23.39,85.2,100.11,0,0,2023,Spanish Grand Prix
ALO,19.0,5.777,22.0,SOFT,SOFT,22.234,84.968,99.017,0,0,2023,Spanish Grand Prix
ALO,44.0,13.852,28.0,SOFT,HARD,22.906,83.902,98.759,0,0,2023,Spanish Grand Prix
OCO,13.0,1.821,16.0,SOFT,MEDIUM,22.156,85.472,98.928,0,0,2023,Spanish Grand Prix
OCO,35.0,2.036,22.0,MEDIUM,HARD,24.093,84.355,100.678,0,0,2023,Spanish Grand Prix
ZHO,9.0,0.748,9.0,SOFT,HARD,23.406,86.163,101.115,0,0,2023,Spanish Grand Prix
ZHO,36.0,3.949,27.0,HARD,HARD,22.796,84.35,99.856,0,0,2023,Spanish Grand Prix
GAS,19.0,6.573,22.0,SOFT,MEDIUM,23.344,86.187,100.742,0,0,2023,Spanish Grand Prix
GAS,39.0,1.074,20.0,MEDIUM,HARD,23.64,84.147,100.082,0,0,2023,Spanish Grand Prix
LEC,16.0,3.137,16.0,HARD,SOFT,21.828,86.277,99.864,0,1,2023,Spanish Grand Prix
LEC,41.0,12.246,25.0,SOFT,HARD,23.031,83.726,99.362,0,0,2023,Spanish Grand Prix
TSU,10.0,2.2560000000000002,10.0,SOFT,HARD,22.125,84.958,100.506,0,0,2023,Spanish Grand Prix
TSU,34.0,2.17,24.0,HARD,MEDIUM,22.047,84.505,97.984,0,0,2023,Spanish Grand Prix
PIA,17.0,4.159,19.0,SOFT,HARD,22.375,84.904,100.323,0,0,2023,Spanish Grand Prix
PIA,39.0,7.127,22.0,HARD,MEDIUM,22.812,84.112,98.905,0,0,2023,Spanish Grand Prix
DEV,9.0,0.458,9.0,SOFT,HARD,22.499,85.276,100.443,0,0,2023,Spanish Grand Prix
DEV,38.0,4.793,29.0,HARD,MEDIUM,22.016,84.278,98.438,0,0,2023,Spanish Grand Prix
HUL,8.0,1.108,11.0,SOFT,MEDIUM,22.531,86.934,98.728,0,1,2023,Spanish Grand Prix
HUL,26.0,2.694,18.0,MEDIUM,HARD,23.203,84.75,99.843,0,0,2023,Spanish Grand Prix
HUL,43.0,3.702,17.0,HARD,MEDIUM,24.484,85.079,100.839,0,0,2023,Spanish Grand Prix
ALB,16.0,6.245,16.0,SOFT,HARD,23.327,86.763,102.254,0,0,2023,Spanish Grand Prix
ALB,37.0,1.3679999999999999,21.0,HARD,MEDIUM,23.531,86.232,98.923,0,1,2023,Spanish Grand Prix
NOR,22.0,1.834,21.0,HARD,MEDIUM,22.796,85.334,100.436,0,0,2023,Spanish Grand Prix
NOR,50.0,8.302,28.0,MEDIUM,SOFT,22.031,83.934,98.017,0,0,2023,Spanish Grand Prix
MAG,10.0,1.292,10.0,SOFT,MEDIUM,22.078,86.652,99.51,0,0,2023,Spanish Grand Prix
MAG,24.0,3.551,14.0,MEDIUM,HARD,24.672,85.931,101.735,0,0,2023,Spanish Grand Prix
MAG,42.0,5.07,18.0,HARD,MEDIUM,22.266,86.156,98.274,0,0,2023,Spanish Grand Prix
BOT,5.0,0.769,5.0,SOFT,HARD,23.734,85.549,100.88,0,0,2023,Spanish Grand Prix
BOT,39.0,6.379,34.0,HARD,HARD,24.062,87.553,103.035,0,0,2023,Spanish Grand Prix
SAR,17.0,0.915,17.0,MEDIUM,HARD,22.843,86.858,101.467,0,0,2023,Spanish Grand Prix
SAR,36.0,1.748,19.0,HARD,HARD,23.921,84.804,101.816,0,1,2023,Spanish Grand Prix
VER,12.0,0.0,12.0,MEDIUM,HARD,23.625,93.192,149.911,0,0,2023,Canadian Grand Prix
VER,42.0,0.0,30.0,HARD,MEDIUM,23.952,93.273,79.311,0,0,2023,Canadian Grand Prix
GAS,10.0,0.782,10.0,SOFT,HARD,27.5,100.116,81.94,0,0,2023,Canadian Grand Prix
GAS,33.0,0.355,23.0,HARD,HARD,24.109,95.144,80.911,0,0,2023,Canadian Grand Prix
PER,37.0,6.338,37.0,HARD,MEDIUM,23.312,93.65,79.774,0,0,2023,Canadian Grand Prix
PER,68.0,11.045,31.0,MEDIUM,SOFT,23.218,92.565,81.192,0,0,2023,Canadian Grand Prix
ALO,12.0,0.665,12.0,MEDIUM,HARD,24.015,99.554,141.915,0,0,2023,Canadian Grand Prix
ALO,41.0,4.945,29.0,HARD,HARD,24.234,93.629,79.272,0,0,2023,Canadian Grand Prix
LEC,39.0,3.583,39.0,MEDIUM,HARD,24.437,94.031,80.182,0,0,2023,Canadian Grand Prix
STR,11.0,1.031,11.0,MEDIUM,HARD,23.703,94.477,102.344,0,0,2023,Canadian Grand Prix
STR,27.0,0.303,16.0,HARD,HARD,23.859,94.832,81.189,0,1,2023,Canadian Grand Prix
MAG,35.0,4.184,35.0,HARD,MEDIUM,24.922,139.693,82.185,0,0,2023,Canadian Grand Prix
MAG,53.0,46.821,18.0,MEDIUM,MEDIUM,24.546,94.636,81.837,0,0,2023,Canadian Grand Prix
DEV,11.0,0.622,11.0,MEDIUM,HARD,24.984,96.152,104.807,0,0,2023,Canadian Grand Prix
DEV,50.0,4.284,39.0,HARD,HARD,23.938,94.364,80.592,0,0,2023,Canadian Grand Prix
TSU,34.0,0.433,33.0,HARD,HARD,27.531,98.07,80.934,0,1,2023,Canadian Grand Prix
ALB,12.0,0.888,13.0,MEDIUM,HARD,25.062,110.487,125.716,0,0,2023,Canadian Grand Prix
ZHO,12.0,3.435,12.0,MEDIUM,HARD,24.202,108.723,124.45,0,0,2023,Canadian Grand Prix
ZHO,32.0,0.806,20.0,HARD,HARD,27.531,98.634,81.363,0,0,2023,Canadian Grand Prix
HUL,11.0,2.457,11.0,MEDIUM,HARD,24.89,95.932,101.519,0,0,2023,Canadian Grand Prix
HUL,31.0,0.622,20.0,HARD,HARD,24.187,95.3,79.532,0,1,2023,Canadian Grand Prix
OCO,12.0,5.938,12.0,MEDIUM,HARD,24.406,104.968,135.376,0,0,2023,Canadian Grand Prix
OCO,36.0,7.974,24.0,HARD,HARD,23.719,94.988,80.851,0,0,2023,Canadian Grand Prix
NOR,12.0,2.955,12.0,MEDIUM,HARD,25.843,111.157,125.08,0,0,2023,Canadian Grand Prix
NOR,35.0,2.0,23.0,HARD,HARD,23.562,93.992,80.153,0,0,2023,Canadian Grand Prix
HAM,12.0,4.008,12.0,MEDIUM,HARD,24.296,99.747,141.261,0,0,2023,Canadian Grand Prix
HAM,40.0,4.703,28.0,HARD,MEDIUM,23.781,93.525,80.396,0,0,2023,Canadian Grand Prix
SAI,38.0,1.782,38.0,MEDIUM,HARD,24.156,94.125,80.059,0,0,2023,Canadian Grand Prix
BOT,36.0,2.697,36.0,HARD,MEDIUM,24.046,94.981,79.412,0,0,2023,Canadian Grand Prix
PIA,12.0,3.599,12.0,MEDIUM,HARD,24.828,105.429,131.956,0,0,2023,Canadian Grand Prix
PIA,37.0,15.57,25.0,HARD,HARD,23.453,94.059,80.869,0,0,2023,Canadian Grand Prix
VER,2.0,0.0,2.0,MEDIUM,MEDIUM,16.36,115.479,124.721,0,0,2023,Austrian Grand Prix
VER,24.0,0.0,24.0,MEDIUM,HARD,21.281,73.519,86.769,0,0,2023,Austrian Grand Prix
VER,49.0,0.0,25.0,HARD,MEDIUM,21.641,73.176,86.268,0,0,2023,Austrian Grand Prix
VER,69.0,0.0,20.0,MEDIUM,SOFT,21.359,72.228,87.83,0,0,2023,Austrian Grand Prix
GAS,2.0,0.991,2.0,MEDIUM,MEDIUM,15.891,115.719,113.084,0,0,2023,Austrian Grand Prix
GAS,14.0,1.673,14.0,MEDIUM,HARD,21.765,80.634,107.588,0,1,2023,Austrian Grand Prix
GAS,44.0,14.807,30.0,HARD,MEDIUM,27.843,75.568,93.21,0,0,2023,Austrian Grand Prix
PER,2.0,2.059,2.0,MEDIUM,MEDIUM,17.422,119.546,106.027,0,0,2023,Austrian Grand Prix
PER,25.0,3.091,25.0,MEDIUM,MEDIUM,21.797,74.401,86.979,0,0,2023,Austrian Grand Prix
PER,50.0,22.541,25.0,MEDIUM,HARD,21.156,73.267,85.421,0,0,2023,Austrian Grand Prix
ALO,2.0,1.869,2.0,HARD,HARD,16.531,115.765,116.216,0,0,2023,Austrian Grand Prix
ALO,15.0,3.027,15.0,HARD,MEDIUM,22.25,93.034,88.475,0,0,2023,Austrian Grand Prix
ALO,44.0,2.834,29.0,MEDIUM,MEDIUM,22.0,75.313,86.987,0,0,2023,Austrian Grand Prix
LEC,2.0,1.697,2.0,MEDIUM,MEDIUM,16.312,115.468,123.609,0,0,2023,Austrian Grand Prix
LEC,15.0,6.629,15.0,MEDIUM,MEDIUM,23.39,93.78,90.565,0,0,2023,Austrian Grand Prix
LEC,47.0,13.326,32.0,MEDIUM,HARD,21.078,73.741,86.182,0,0,2023,Austrian Grand Prix
STR,2.0,0.07,2.0,MEDIUM,MEDIUM,16.562,115.392,114.143,0,0,2023,Austrian Grand Prix
STR,15.0,1.912,15.0,MEDIUM,HARD,24.249,97.489,89.716,0,0,2023,Austrian Grand Prix
STR,36.0,0.719,21.0,HARD,HARD,21.687,74.734,88.068,0,1,2023,Austrian Grand Prix
STR,54.0,4.044,18.0,HARD,MEDIUM,21.874,73.83,86.08,0,0,2023,Austrian Grand Prix
SAR,2.0,0.758,2.0,MEDIUM,MEDIUM,17.327,119.986,103.374,0,0,2023,Austrian Grand Prix
SAR,14.0,2.94,14.0,MEDIUM,HARD,23.202,84.472,106.237,0,0,2023,Austrian Grand Prix
SAR,43.0,18.055,29.0,HARD,HARD,21.515,75.763,87.442,0,0,2023,Austrian Grand Prix
MAG,2.0,1.6139999999999999,1.0,MEDIUM,HARD,25.656,135.42,98.407,0,0,2023,Austrian Grand Prix
DEV,2.0,1.662,2.0,MEDIUM,MEDIUM,16.953,120.121,100.986,0,0,2023,Austrian Grand Prix
DEV,12.0,0.706,12.0,MEDIUM,HARD,21.031,75.255,88.203,0,0,2023,Austrian Grand Prix
DEV,37.0,5.028,25.0,HARD,MEDIUM,20.953,74.889,87.267,0,0,2023,Austrian Grand Prix
TSU,2.0,2.706,1.0,HARD,HARD,16.094,122.36,96.315,0,0,2023,Austrian Grand Prix
TSU,23.0,1.034,22.0,HARD,HARD,27.312,75.745,94.099,0,0,2023,Austrian Grand Prix
TSU,43.0,2.367,20.0,HARD,MEDIUM,21.406,76.722,87.489,0,0,2023,Austrian Grand Prix
ALB,2.0,0.681,2.0,MEDIUM,MEDIUM,16.656,116.502,111.85,0,0,2023,Austrian Grand Prix
ALB,14.0,1.335,14.0,MEDIUM,HARD,21.499,80.648,107.455,0,0,2023,Austrian Grand Prix
ALB,41.0,6.79,27.0,HARD,HARD,28.187,74.393,93.6,0,0,2023,Austrian Grand Prix
ZHO,2.0,1.189,2.0,MEDIUM,MEDIUM,17.484,119.743,105.016,0,0,2023,Austrian Grand Prix
ZHO,8.0,0.586,8.0,MEDIUM,HARD,24.218,74.846,90.807,0,0,2023,Austrian Grand Prix
ZHO,38.0,6.051,30.0,HARD,HARD,21.984,75.378,88.218,0,0,2023,Austrian Grand Prix
HUL,2.0,1.518,5.0,MEDIUM,MEDIUM,16.687,115.606,115.282,0,0,2023,Austrian Grand Prix
HUL,11.0,1.221,14.0,MEDIUM,HARD,21.89,75.584,87.794,0,0,2023,Austrian Grand Prix
OCO,2.0,0.706,2.0,MEDIUM,MEDIUM,18.281,119.895,107.299,0,0,2023,Austrian Grand Prix
OCO,14.0,1.002,14.0,MEDIUM,HARD,22.359,82.57,106.235,0,0,2023,Austrian Grand Prix
OCO,40.0,2.357,26.0,HARD,HARD,30.437,75.171,96.628,0,0,2023,Austrian Grand Prix
NOR,2.0,2.173,2.0,MEDIUM,MEDIUM,18.062,114.938,118.477,0,0,2023,Austrian Grand Prix
NOR,14.0,0.559,14.0,MEDIUM,HARD,21.312,79.855,108.225,0,0,2023,Austrian Grand Prix
NOR,41.0,10.652,27.0,HARD,HARD,22.047,74.505,87.349,0,0,2023,Austrian Grand Prix
HAM,2.0,2.473,2.0,MEDIUM,MEDIUM,16.313,115.179,120.135,0,0,2023,Austrian Grand Prix
HAM,14.0,3.822,14.0,MEDIUM,HARD,22.0,78.406,106.689,0,1,2023,Austrian Grand Prix
HAM,42.0,12.151,28.0,HARD,MEDIUM,27.734,74.083,93.868,0,0,2023,Austrian Grand Prix
SAI,2.0,2.325,2.0,MEDIUM,MEDIUM,16.406,114.713,122.583,0,0,2023,Austrian Grand Prix
SAI,15.0,2.782,15.0,MEDIUM,MEDIUM,26.281,96.838,90.511,0,0,2023,Austrian Grand Prix
SAI,45.0,4.299,30.0,MEDIUM,HARD,28.593,74.51,92.869,0,0,2023,Austrian Grand Prix
RUS,2.0,1.3599999999999999,2.0,MEDIUM,MEDIUM,17.843,119.477,108.025,0,0,2023,Austrian Grand Prix
RUS,14.0,0.694,14.0,MEDIUM,HARD,22.281,80.622,107.551,0,0,2023,Austrian Grand Prix
RUS,41.0,1.943,27.0,HARD,MEDIUM,21.688,74.567,87.635,0,1,2023,Austrian Grand Prix
BOT,2.0,1.438,2.0,HARD,HARD,17.093,120.55,101.708,0,0,2023,Austrian Grand Prix
BOT,21.0,0.963,21.0,HARD,MEDIUM,31.797,75.575,98.722,0,0,2023,Austrian Grand Prix
BOT,40.0,2.112,19.0,MEDIUM,HARD,21.968,74.528,88.026,0,1,2023,Austrian Grand Prix
PIA,2.0,1.462,2.0,MEDIUM,MEDIUM,17.313,119.278,104.523,0,1,2023,Austrian Grand Prix
PIA,14.0,0.803,14.0,MEDIUM,HARD,22.484,82.818,106.66,0,0,2023,Austrian Grand Prix
PIA,22.0,0.534,8.0,HARD,HARD,29.906,77.056,96.077,0,0,2023,Austrian Grand Prix
PIA,41.0,0.069,19.0,HARD,MEDIUM,22.328,74.404,88.454,0,0,2023,Austrian Grand Prix
GAS,31.0,2.632,31.0,MEDIUM,SOFT,28.5,93.391,126.804,0,0,2023,British Grand Prix
PER,28.0,1.246,28.0,MEDIUM,SOFT,28.062,92.235,110.559,0,1,2023,British Grand Prix
ALO,33.0,10.969,34.0,MEDIUM,SOFT,28.624,123.93,147.213,0,0,2023,British Grand Prix
LEC,18.0,4.514,18.0,MEDIUM,HARD,28.202,92.475,112.861,0,0,2023,British Grand Prix
LEC,32.0,0.864,14.0,HARD,MEDIUM,28.812,96.215,146.13,0,0,2023,British Grand Prix
STR,31.0,1.4889999999999999,32.0,MEDIUM,SOFT,28.609,92.933,131.273,0,0,2023,British Grand Prix
SAR,29.0,3.481,29.0,MEDIUM,SOFT,28.843,92.723,112.724,0,0,2023,British Grand Prix
DEV,27.0,3.583,27.0,SOFT,MEDIUM,28.374,93.299,113.094,0,0,2023,British Grand Prix
DEV,32.0,3.206,5.0,MEDIUM,SOFT,28.406,110.128,144.933,0,0,2023,British Grand Prix
TSU,14.0,4.914,14.0,SOFT,HARD,28.312,94.769,114.644,0,0,2023,British Grand Prix
TSU,32.0,1.7149999999999999,18.0,HARD,SOFT,28.609,107.079,145.863,0,0,2023,British Grand Prix
ALB,32.0,3.167,32.0,MEDIUM,SOFT,29.64,96.773,146.603,0,0,2023,British Grand Prix
ZHO,24.0,3.173,24.0,MEDIUM,HARD,29.171,93.17,115.24,0,0,2023,British Grand Prix
ZHO,33.0,8.528,9.0,HARD,SOFT,28.702,124.102,142.914,0,0,2023,British Grand Prix
ZHO,36.0,2.4699999999999998,3.0,SOFT,SOFT,34.359,140.527,148.721,0,0,2023,British Grand Prix
HUL,7.0,0.718,7.0,HARD,MEDIUM,41.984,94.412,127.922,0,0,2023,British Grand Prix
HUL,32.0,7.631,25.0,MEDIUM,SOFT,30.03,114.146,146.674,0,0,2023,British Grand Prix
SAI,26.0,3.926,26.0,MEDIUM,HARD,28.859,93.181,112.728,0,0,2023,British Grand Prix
RUS,28.0,5.693,31.0,SOFT,MEDIUM,29.499,92.504,113.262,0,0,2023,British Grand Prix
BOT,32.0,9.033,32.0,HARD,SOFT,29.656,105.965,146.908,0,0,2023,British Grand Prix
PIA,29.0,3.19,29.0,MEDIUM,HARD,28.609,92.563,112.49,0,0,2023,British Grand Prix
VER,23.0,0.0,26.0,MEDIUM,HARD,21.406,87.151,102.007,0,0,2023,Hungarian Grand Prix
VER,51.0,0.0,28.0,HARD,MEDIUM,21.624,86.21,102.723,0,0,2023,Hungarian Grand Prix
NOR,17.0,2.066,17.0,MEDIUM,HARD,21.547,87.115,100.528,0,1,2023,Hungarian Grand Prix
NOR,44.0,19.93,27.0,HARD,MEDIUM,21.515,86.696,101.182,0,0,2023,Hungarian Grand Prix
PER,24.0,20.575,27.0,HARD,MEDIUM,21.875,87.442,102.542,0,0,2023,Hungarian Grand Prix
PER,42.0,0.584,24.0,MEDIUM,MEDIUM,20.905,87.335,100.363,0,1,2023,Hungarian Grand Prix
HAM,16.0,3.451,19.0,MEDIUM,HARD,21.953,87.791,104.676,0,0,2023,Hungarian Grand Prix
HAM,49.0,34.857,33.0,HARD,MEDIUM,21.734,87.017,101.746,0,0,2023,Hungarian Grand Prix
PIA,18.0,8.361,20.0,MEDIUM,HARD,21.156,87.253,102.563,0,0,2023,Hungarian Grand Prix
PIA,42.0,8.384,24.0,HARD,MEDIUM,21.984,87.242,102.043,0,0,2023,Hungarian Grand Prix
RUS,28.0,5.573,28.0,HARD,MEDIUM,21.859,89.289,103.607,0,0,2023,Hungarian Grand Prix
RUS,46.0,7.128,18.0,MEDIUM,MEDIUM,21.64,85.421,99.96,0,0,2023,Hungarian Grand Prix
LEC,17.0,0.458,20.0,MEDIUM,HARD,28.452,87.426,109.137,0,0,2023,Hungarian Grand Prix
LEC,43.0,1.85,26.0,HARD,HARD,21.421,86.75,99.627,0,1,2023,Hungarian Grand Prix
SAI,15.0,3.349,15.0,SOFT,HARD,21.406,88.509,102.604,0,1,2023,Hungarian Grand Prix
SAI,44.0,15.592,29.0,HARD,HARD,22.03,87.67,102.939,0,0,2023,Hungarian Grand Prix
ALO,20.0,4.526,23.0,MEDIUM,HARD,22.89,87.835,104.378,0,0,2023,Hungarian Grand Prix
ALO,43.0,7.15,27.0,HARD,HARD,24.093,87.63,103.982,0,0,2023,Hungarian Grand Prix
STR,9.0,0.757,9.0,SOFT,HARD,21.937,88.932,102.58,0,1,2023,Hungarian Grand Prix
STR,34.0,5.309,30.0,HARD,HARD,22.421,87.872,105.7,0,0,2023,Hungarian Grand Prix
ALB,8.0,0.884,8.0,MEDIUM,HARD,22.093,88.053,102.711,0,1,2023,Hungarian Grand Prix
ALB,31.0,4.914,26.0,HARD,HARD,21.734,87.832,103.771,0,0,2023,Hungarian Grand Prix
BOT,9.0,0.715,12.0,MEDIUM,HARD,22.094,88.918,103.443,0,0,2023,Hungarian Grand Prix
BOT,40.0,9.035,36.0,HARD,HARD,23.406,88.159,105.01,0,0,2023,Hungarian Grand Prix
RIC,18.0,0.812,21.0,MEDIUM,HARD,21.984,88.95,104.503,0,0,2023,Hungarian Grand Prix
RIC,29.0,0.614,14.0,HARD,MEDIUM,22.187,88.347,102.809,0,1,2023,Hungarian Grand Prix
HUL,16.0,5.136,19.0,MEDIUM,HARD,22.828,88.445,104.661,0,0,2023,Hungarian Grand Prix
HUL,38.0,2.93,25.0,HARD,HARD,21.984,87.764,103.179,0,1,2023,Hungarian Grand Prix
TSU,9.0,0.76,9.0,SOFT,HARD,26.156,88.862,108.197,0,0,2023,Hungarian Grand Prix
TSU,44.0,2.555,38.0,HARD,MEDIUM,21.156,89.888,102.64,0,0,2023,Hungarian Grand Prix
ZHO,10.0,1.042,13.0,MEDIUM,HARD,29.171,88.185,109.938,0,0,2023,Hungarian Grand Prix
ZHO,38.0,3.86,33.0,HARD,HARD,22.843,88.435,106.894,0,0,2023,Hungarian Grand Prix
MAG,14.0,3.2,14.0,MEDIUM,HARD,22.718,88.329,104.286,0,0,2023,Hungarian Grand Prix
MAG,41.0,3.031,30.0,HARD,HARD,22.172,89.197,103.525,0,0,2023,Hungarian Grand Prix
SAR,13.0,1.333,13.0,MEDIUM,HARD,23.999,88.197,105.893,0,0,2023,Hungarian Grand Prix
SAR,34.0,0.579,24.0,HARD,HARD,22.203,88.983,102.497,0,1,2023,Hungarian Grand Prix
VER,14.0,0.0,14.0,SOFT,MEDIUM,22.906,117.166,123.986,0,0,2023,Belgian Grand Prix
VER,30.0,0.0,16.0,MEDIUM,SOFT,23.0,115.882,123.585,0,0,2023,Belgian Grand Prix
PER,13.0,0.0,13.0,SOFT,MEDIUM,23.687,117.632,126.242,0,0,2023,Belgian Grand Prix
PER,29.0,8.87,16.0,MEDIUM,SOFT,22.687,116.724,124.522,0,0,2023,Belgian Grand Prix
LEC,13.0,3.665,13.0,SOFT,MEDIUM,23.218,117.485,125.902,0,0,2023,Belgian Grand Prix
LEC,28.0,6.782,15.0,MEDIUM,SOFT,23.172,115.953,123.881,0,0,2023,Belgian Grand Prix
HAM,12.0,4.101,12.0,SOFT,MEDIUM,23.093,118.156,125.716,0,0,2023,Belgian Grand Prix
HAM,27.0,3.493,15.0,MEDIUM,SOFT,23.047,116.092,123.721,0,0,2023,Belgian Grand Prix
HAM,42.0,2.89,15.0,SOFT,MEDIUM,23.156,115.22,129.564,0,0,2023,Belgian Grand Prix
ALO,10.0,8.43,10.0,MEDIUM,MEDIUM,23.125,118.157,128.573,0,0,2023,Belgian Grand Prix
ALO,29.0,15.234,19.0,MEDIUM,SOFT,23.812,118.063,126.152,0,0,2023,Belgian Grand Prix
RUS,22.0,8.713,22.0,MEDIUM,SOFT,23.828,122.178,128.989,0,0,2023,Belgian Grand Prix
NOR,5.0,0.381,5.0,MEDIUM,HARD,24.984,120.43,129.109,0,0,2023,Belgian Grand Prix
NOR,17.0,0.823,12.0,HARD,SOFT,23.75,118.917,126.244,0,0,2023,Belgian Grand Prix
OCO,6.0,1.029,6.0,SOFT,MEDIUM,23.078,120.088,126.224,0,0,2023,Belgian Grand Prix
OCO,25.0,0.579,19.0,MEDIUM,SOFT,23.343,117.52,125.354,0,0,2023,Belgian Grand Prix
